Year,Link
1975,https://www.espncricinfo.com/records/season/team-match-results/1975-1975?trophy=12
1979,https://www.espncricinfo.com/records/season/team-match-results/1979-1979?trophy=12
1983,https://www.espncricinfo.com/records/season/team-match-results/1983-1983?trophy=12
1987/88,https://www.espncricinfo.com/records/season/team-match-results/1987to88-1987to88?trophy=12
1991/92,https://www.espncricinfo.com/records/season/team-match-results/1991to92-1991to92?trophy=12
1995/96,https://www.espncricinfo.com/records/season/team-match-results/1995to96-1995to96?trophy=12
1999,https://www.espncricinfo.com/records/season/team-match-results/1999-1999?trophy=12
2002/03,https://www.espncricinfo.com/records/season/team-match-results/2002to03-2002to03?trophy=12
2006/07,https://www.espncricinfo.com/records/season/team-match-results/2006to07-2006to07?trophy=12
2010/11,https://www.espncricinfo.com/records/season/team-match-results/2010to11-2010to11?trophy=12
2014/15,https://www.espncricinfo.com/records/season/team-match-results/2014to15-2014to15?trophy=12
2019,https://www.espncricinfo.com/records/season/team-match-results/2019-2019?trophy=12
2023/24,https://www.espncricinfo.com/records/season/team-match-results/2023to24-2023to24?trophy=12
